algorithm_type,params,s_epe,s_mse,a_mse,combined_score
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.83505953,2180.6628,2180.6628,0.380360036
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,11.66258402,2922.9048,2922.9048,0.444049271
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.46947029,2775.5144,2775.5144,0.432817517
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.15530213,2839.4028,2839.4028,0.43797076
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.93519923,2677.5273,2677.5273,0.424784902
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.44139825,2600.1658,2600.1658,0.4195511
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.98011208,2496.4092,2496.4092,0.411409997
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.77861509,2531.2544,2531.2544,0.413979436
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.26820307,2434.0298,2434.0298,0.406229216
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.99588831,2687.447,2687.447,0.426460779
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.32004079,2627.7075,2627.7075,0.421885229
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.20460757,2646.141,2646.141,0.423173811
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.50460249,2587.7437,2587.7437,0.418566082
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.75431822,2738.6958,2738.6958,0.430678047
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.6376656,2556.334,2556.334,0.415861397
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.30617541,2627.938,2627.938,0.421801992
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.09452542,2453.9304,2453.9304,0.407227855
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.05125194,2867.2595,2867.2595,0.440481165
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.56034395,2775.5044,2775.5044,0.433543284
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.35881477,2814.087,2814.087,0.436560961
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.84962993,2717.0972,2717.0972,0.428848692
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,14.05149056,2483.7534,2483.7534,0.410462358
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.53081275,2375.8384,2375.8384,0.401347111
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,14.35779743,2413.2026,2413.2026,0.404446718
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.7659632,2314.3306,2314.3306,0.395847382
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.64957799,2571.1028,2571.1028,0.417728951
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.9505964,2509.733,2509.733,0.412772736
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.83152306,2528.5466,2528.5466,0.414077795
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.10706523,2470.1296,2470.1296,0.409272089
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.31142974,2644.1023,2644.1023,0.423783711
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.14929824,2452.0977,2452.0977,0.407446126
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.83068126,2526.9138,2526.9138,0.41387514
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.55527665,2348.0989,2348.0989,0.398214082
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.611025,2789.0173,2789.0173,0.435570277
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.11368104,2684.1401,2684.1401,0.427006273
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.92806437,2722.9622,2722.9622,0.430179979
DIS,finest_scale=0; patch_size=4; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.40691624,2621.8267,2621.8267,0.421874513
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.6719875,2734.258,2734.258,0.429486893
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.3725316,2559.0125,2559.0125,0.414061773
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.1999085,2619.5813,2619.5813,0.419949039
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.75989319,2455.858,2455.858,0.404782093
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.03974654,2862.9338,2862.9338,0.439870055
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.47491369,2774.4917,2774.4917,0.432738308
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.36131717,2803.047,2803.047,0.435256178
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.7670105,2715.5037,2715.5037,0.427996525
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.35462568,2789.5625,2789.5625,0.433584529
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.2500722,2588.0144,2588.0144,0.416562294
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.00152703,2661.9326,2661.9326,0.423444147
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.72132605,2468.9673,2468.9673,0.406046701
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,11.6266898,2928.9307,2928.9307,0.444485181
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.12797914,2834.0007,2834.0007,0.437103916
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,11.97588837,2866.5845,2866.5845,0.439797254
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.46731493,2767.2651,2767.2651,0.43181036
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.29911218,2631.9292,2631.9292,0.42222441
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.97996794,2435.6763,2435.6763,0.404120924
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.83520666,2499.1704,2499.1704,0.410582125
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.34676233,2330.3086,2330.3086,0.394411137
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.62037496,2780.3245,2780.3245,0.434601966
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.09002517,2679.0596,2679.0596,0.42620736
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.97875374,2713.0005,2713.0005,0.429390093
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.39622313,2608.6116,2608.6116,0.420203187
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.92321701,2698.8403,2698.8403,0.42724656
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.80359116,2477.1318,2477.1318,0.407684543
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.58144477,2554.1785,2554.1785,0.415153006
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.24550107,2356.1458,2356.1458,0.396701502
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.10924019,2862.2747,2862.2747,0.440346879
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.67745951,2744.7366,2744.7366,0.430788089
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.51131063,2788.319,2788.319,0.434688788
DIS,finest_scale=0; patch_size=8; patch_stride=2; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.03828062,2675.9907,2675.9907,0.425425136
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.73873456,2732.26,2732.26,0.42978108
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.36208515,2576.9026,2576.9026,0.416124982
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.20987025,2628.3955,2628.3955,0.421086447
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.7163606,2484.2783,2484.2783,0.40784429
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.14866861,2851.6938,2851.6938,0.439392638
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.55438404,2768.4832,2768.4832,0.432653064
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.45560389,2795.6655,2795.6655,0.435124716
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.82970054,2714.6304,2714.6304,0.42839326
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.39863035,2788.4597,2788.4597,0.433804214
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.23370669,2601.901,2601.901,0.418097797
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.00854901,2667.4446,2667.4446,0.424161756
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.67615468,2495.405,2495.405,0.408857847
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,11.69676124,2921.3064,2921.3064,0.444130881
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.18295065,2828.6577,2828.6577,0.43690252
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.03063748,2860.2253,2860.2253,0.439472159
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.5066524,2766.8738,2766.8738,0.432078091
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.35480385,2635.958,2635.958,0.423153396
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.97717329,2461.9736,2461.9736,0.407254216
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.8497382,2513.493,2513.493,0.412417078
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.31931095,2364.0952,2364.0952,0.398245924
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.73688886,2771.8872,2771.8872,0.434521573
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.15905315,2679.1265,2679.1265,0.42676763
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.07584499,2706.5007,2706.5007,0.429386837
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.44794223,2615.2556,2615.2556,0.421414241
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.95757917,2699.7183,2699.7183,0.427626838
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.78097913,2501.08,2501.08,0.410377455
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.57022416,2571.4644,2571.4644,0.417137543
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.21557189,2383.7686,2383.7686,0.399776802
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.18951332,2855.019,2855.019,0.440118389
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,12.74027623,2741.6177,2741.6177,0.430916335
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.57224474,2785.5063,2785.5063,0.43483872
DIS,finest_scale=0; patch_size=8; patch_stride=4; grad_descent_iter=12; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.06396496,2679.3086,2679.3086,0.42602877
DIS,finest_scale=1; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.91066461,2828.0413,2828.0413,0.442650293
DIS,finest_scale=1; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.06714827,2641.169,2641.169,0.429477464
DIS,finest_scale=1; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.6680304,2711.2717,2711.2717,0.434696852
DIS,finest_scale=1; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.58056898,2545.4858,2545.4858,0.422102859
